timestamp,emotion,emotion_score,session_id
2025-05-10 20:13:13.192282,fear,53.69157791137695,23db35be-1bf0-4bf4-a5ff-cae7ab65b196
2025-05-10 20:14:09.928214,happy,53.73829923500414,bc9ffe37-c521-4842-83c4-ec7d32bc7611
2025-05-10 20:14:14.653503,happy,99.99520778656006,bc9ffe37-c521-4842-83c4-ec7d32bc7611
2025-05-10 20:26:10.810634,neutral,66.6903018951416,00d9fc10-5d4d-474a-a771-6432d150c9a3
2025-05-10 20:26:15.861743,surprise,77.8782069683075,00d9fc10-5d4d-474a-a771-6432d150c9a3
2025-05-10 20:29:23.101467,neutral,74.62695240974426,de29680f-7f82-412f-beb5-ca6e326cc30b
2025-05-10 20:29:31.988317,neutral,95.59502601623537,de29680f-7f82-412f-beb5-ca6e326cc30b
2025-05-10 20:29:41.570636,neutral,98.32000732421876,de29680f-7f82-412f-beb5-ca6e326cc30b
2025-05-10 21:55:54.864077,happy,97.75283323245246,aa216748-63f4-47a8-af02-12a619812923
2025-05-10 21:56:11.989333,happy,97.75283323245246,aa216748-63f4-47a8-af02-12a619812923
2025-05-10 21:57:57.539628,happy,97.0678452172464,941e9442-a877-4264-a617-edb1606f15e5
2025-05-10 21:58:04.593810,happy,97.0678452172464,941e9442-a877-4264-a617-edb1606f15e5
2025-05-10 21:58:25.688272,happy,97.0678452172464,941e9442-a877-4264-a617-edb1606f15e5
2025-05-10 21:58:41.320497,neutral,82.74595737457275,e1600da4-67d0-4082-9aeb-be2e99f24489
2025-05-10 21:58:47.716730,neutral,82.74595737457275,e1600da4-67d0-4082-9aeb-be2e99f24489
2025-05-10 21:59:37.831970,happy,99.99554753276988,e1600da4-67d0-4082-9aeb-be2e99f24489
2025-05-10 22:00:57.216131,happy,99.971204996109,6b614f37-7052-41b9-9a1b-333109e14845
2025-05-10 22:01:05.617160,happy,99.971204996109,6b614f37-7052-41b9-9a1b-333109e14845
2025-05-10 22:03:06.863399,happy,82.8134279695921,90d86473-c8ee-4c2f-8d69-6f82fc29d967
2025-05-10 22:03:17.669089,happy,82.8134279695921,90d86473-c8ee-4c2f-8d69-6f82fc29d967
2025-05-10 22:05:37.549703,fear,89.81538536365207,4fe92a96-5f52-46a0-a579-ca9050eaa1ae
2025-05-10 22:05:43.458721,fear,89.81538536365207,4fe92a96-5f52-46a0-a579-ca9050eaa1ae
2025-05-10 22:08:53.392571,fear,97.5541475350681,1eb6fad2-ef75-4519-b2c5-f8fef3d7e0da
2025-05-10 22:08:58.144737,fear,97.5541475350681,1eb6fad2-ef75-4519-b2c5-f8fef3d7e0da
2025-05-10 22:09:03.830424,fear,97.5541475350681,1eb6fad2-ef75-4519-b2c5-f8fef3d7e0da
2025-05-10 22:12:20.420346,fear,56.71763936070926,1ecba478-5556-425e-b71e-78ce3e2b43a1
2025-05-10 22:13:27.758440,happy,99.83040689411204,dbd023f1-ca55-4ec3-a476-3b708ca20a63
2025-05-10 22:13:34.265689,happy,99.83040689411204,dbd023f1-ca55-4ec3-a476-3b708ca20a63
2025-05-10 22:18:04.235418,happy,54.82563376426697,71fd42bf-c453-4caa-9d20-2c55cd612cda
2025-05-10 22:18:08.499534,happy,54.82563376426697,71fd42bf-c453-4caa-9d20-2c55cd612cda
2025-05-10 22:19:00.136357,neutral,99.60826630690887,c148cafb-4739-4d15-9ad1-7549032bd8e7
2025-05-10 22:19:05.030189,neutral,99.60826630690887,c148cafb-4739-4d15-9ad1-7549032bd8e7
2025-05-10 22:19:28.801748,happy,92.3147976398468,7bd721d6-7435-491a-915b-1baab17aaf98
2025-05-10 22:19:33.151319,happy,92.3147976398468,7bd721d6-7435-491a-915b-1baab17aaf98
2025-05-10 22:19:49.601630,happy,92.3147976398468,7bd721d6-7435-491a-915b-1baab17aaf98
2025-05-10 22:21:03.986123,fear,61.892060154203186,c53b80c1-6e24-44f7-b149-3e9fccf3aec8
2025-05-10 22:21:08.534646,fear,61.892060154203186,c53b80c1-6e24-44f7-b149-3e9fccf3aec8
2025-05-10 22:23:49.179472,happy,56.86560191326119,a25523d6-8f70-4355-8d38-e6e4ba999a6f
2025-05-10 22:23:57.151959,happy,56.86560191326119,a25523d6-8f70-4355-8d38-e6e4ba999a6f
2025-05-10 22:32:38.974699,neutral,55.73429797496187,10e25785-b77f-46b6-ae97-681e11bad9b3
2025-05-10 22:33:20.798185,neutral,55.73429797496187,10e25785-b77f-46b6-ae97-681e11bad9b3
2025-05-10 22:34:00.884161,neutral,98.04635643959044,3e498028-5fc3-476a-ae4c-3c9fa3e45169
2025-05-10 22:34:07.845000,neutral,98.04635643959044,3e498028-5fc3-476a-ae4c-3c9fa3e45169
2025-05-10 22:38:47.797657,happy,96.61728143692017,3e498028-5fc3-476a-ae4c-3c9fa3e45169
2025-05-10 22:38:57.999776,happy,96.61728143692017,3e498028-5fc3-476a-ae4c-3c9fa3e45169
2025-05-10 22:43:39.745164,fear,99.03998369216822,3d76dea8-8111-41a0-96ac-2d4790daa6dd
2025-05-10 22:43:44.949265,fear,99.03998369216822,3d76dea8-8111-41a0-96ac-2d4790daa6dd
2025-05-10 22:45:48.628896,happy,98.07601559615227,134759e3-2e86-4c44-aa2b-a04f580cfa8f
2025-05-10 22:45:55.175375,happy,98.07601559615227,134759e3-2e86-4c44-aa2b-a04f580cfa8f
2025-05-10 22:56:03.629743,surprise,80.00979065778367,941935dd-7563-42b6-b32a-544df90d1a58
2025-05-10 22:57:14.819620,happy,96.88372015953064,ab338f59-8130-422b-879e-d293df1d8431
2025-05-10 22:57:18.974351,happy,96.88372015953064,ab338f59-8130-422b-879e-d293df1d8431
2025-05-10 23:10:30.898485,fear,57.041627168655396,2f5c3e0b-b7a3-4120-a1dd-2795375d6244
2025-05-10 23:11:45.084905,happy,82.89744461805289,3823474c-8a50-4f53-992c-88c360138518
